gene_symbol,GSM1020099,GSM1020100,GSM1020101,GSM1020102,GSM1020103,GSM1020104,GSM1020105,GSM1020106
ABCC10,7.3814554484791,6.77791965760706,7.65128557176748,7.12101869702216,9.52714044591182,6.85817813578169,6.94419549791407,6.81575552760789
ABCC11,4.70416819592679,4.67211759180793,4.39064714427284,4.48624219980271,4.4663823954631,4.53817986690132,4.3140694651969,4.7019660119191
ABCC12,3.42382094911048,3.51099786016441,3.7370825096796,3.688458219918,3.46558089298154,3.56781054002336,3.43088959648669,3.77007623747715
ABCC13,3.54271240903602,3.48573363615853,3.50463486324286,3.44108885705389,3.62138604137608,3.43528455541766,3.65920276044438,3.64035007643876
ABCC2,3.73072040257036,3.82431562988511,3.79423984339953,3.89926337338066,3.89055725018522,3.6565932473431,3.93293452581143,4.9339931233413
ABCC3,6.12301369460367,7.12544604971649,6.32469663574232,7.41259995430225,6.33865650482238,6.51558776087571,5.52908177038023,8.16131653314178
ABCC4,7.67382549793084,7.26126136170933,6.96339703206051,6.84804947913394,6.66364124186371,6.97257793877183,7.52455523108378,6.90986477293736
ABCC5,7.17932609730803,8.61753047883182,6.87710893560472,6.92856840284099,6.92700950285728,7.49930348886998,6.32553142708211,7.77910524646349
ABCC6,4.58381418252717,4.50720749120559,4.3040162752905,4.3804640332225,4.2335566512124,4.39843650977615,4.71062126284888,4.41297480051723
ABCC6P1,3.01349993959838,2.95005029428987,3.05944848789065,3.0965589539,3.06289486786431,2.86744924765079,3.06442921072227,3.21836912526988
ABCC8,4.76415616155632,4.10542240443531,4.25366061849145,4.47412447301948,4.52361576723557,4.37456201169478,4.49907729465474,4.52565252579993
ABCC9,4.27621515407328,3.87948890157208,4.79644521376551,3.69832236863843,3.88898295627541,3.72878914832756,4.09443177941954,3.74015535292685
ABCD1,5.79569859971765,5.47092046293513,5.24304375117451,4.86894994545702,5.53527859042152,5.19089650972596,5.52198770899295,5.58600213140991
ABCD2,2.78781802910752,3.07653582374529,2.84783322111929,2.79482691684459,2.80289588272446,3.04407870323363,2.91231606204938,2.77365596191354
ABCD3,7.12476289394522,6.0149478341739,5.7554706472277,5.80695118428394,6.65480588150167,6.34814866159413,6.57727340838094,6.88505697492122
ABCD4,6.50985777403211,6.67386348947962,7.44783201732716,6.90479751633702,6.71088499790299,6.63951449389936,6.76110191550989,6.52600459659208
ABCE1,8.92399664833356,9.1629263687222,10.1247460105046,9.87791476297639,9.34395499647057,8.68994813233357,9.256538051641,9.5416309057773
ABCF1,8.7424535575956,9.35324673136407,9.24075777684347,8.82573263288737,8.9344615831921,8.74707184140224,9.77087480303922,8.70746532059377
ABCF2,7.44576656253749,7.28580270934291,8.01798143884215,8.0399990146743,7.82115128413546,6.89185140767026,8.06975310839014,7.55736033589345
ABCF2-H2BK1,7.71017515359506,7.37511242146862,8.33355545564034,8.33465815858192,8.23610412809631,7.23652741992832,8.21569192770406,7.68088400648457
ABCF3,7.17229665032611,7.57275786541804,7.81568402609213,7.17199979121984,7.63746337342698,7.27101980627385,7.34904018064378,6.92707267201444
ABCG1,5.79815034833087,7.59121881389907,6.58728957975386,6.48931953969255,7.01320644150583,6.72481054402677,7.3450667916707,7.74291016303326
ABCG2,4.20592232474733,5.34079973673145,5.25989390474831,4.69610293691214,4.58295480246459,4.91030159378603,4.51357885479082,6.00206316738675
ABCG4,5.65136074575951,5.73908005911818,5.70176217608131,5.65099602659608,5.76044059053347,5.55383094068691,5.74625184519219,6.38157097369918
ABCG5,3.62791763259752,3.71877774339515,3.8284587428499,3.41038922170978,3.69420938458833,3.5361948344897,3.72319338672195,3.85096105193273
ABCG8,3.96009936500673,3.96503348078992,4.04133431095419,3.88744150440718,4.1876975425445,3.95777726045773,3.9974868470719,4.22467289027435
ABHD1,4.05798916435734,3.63927455866235,3.68964593944563,3.47669067310941,3.82889945402036,3.76613297104276,4.01536626807741,4.12165648916898
ABHD10,6.76167570965745,6.99328004258934,7.20712988974878,7.11707250148291,7.00467150910494,7.35977114157998,6.8943228043399,7.17255036528132
ABHD11,7.26676904505847,6.50664028452348,7.4863537115429,7.38440589516376,6.54548500684412,7.88595563396623,7.0177373571295,7.54461463407183
ABHD12,6.62691368695105,8.0592959302205,6.31609170847844,6.67940183375956,6.57097253127465,7.17212467092465,6.35983483346512,6.79515256062504
ABHD12B,3.09182257286066,3.5947143474711,3.16306932224548,3.0652094240201,3.06777222994823,3.08992811042282,3.12444113925067,3.19767704112958
ABHD13,4.28047740520247,4.27073490674478,4.18233213959496,4.34934586486879,4.12020516883584,3.91898677658432,4.07192304019474,4.57110105274605
ABHD14A,5.77910498143747,5.82542809667218,6.13792135612748,5.83376718467161,5.84310816099302,6.20681309856941,6.0176322576059,5.94495689573286
ABHD14B,6.39901398774864,5.94264760721366,6.7126805167493,6.88082000785911,5.97989851625185,6.95862816344147,6.52944242182695,6.45667713104366
ABHD15,5.21755792113782,5.58866577949189,5.47355170377077,6.23235650444143,5.86640629879187,5.83142691854879,5.828322716602,5.45551686862151
ABHD16A,7.47714759746525,8.28524569098181,7.51353890759002,7.7298500894797,6.93297687711935,6.86209763836384,7.29481535477005,7.43444673712767
ABHD16B,3.87176962716008,3.83068251607075,3.73949084197318,3.84511713980381,3.79640131488492,4.07172081371941,3.70086245364295,3.86523278140165
ABHD17A,9.17312098634558,8.70500269166472,8.41323953432044,8.91725612885752,9.02859299274835,9.41629549078688,8.89319622198895,8.87387587857468
ABHD17B,5.30772526184561,6.42131709896342,5.95804728096468,5.48969468356751,6.26064561962668,5.98497698344202,6.3168122741483,7.24265247696844
ABHD17C,8.14047865566947,9.06967055700548,7.02872911402739,8.50843203963401,8.27843206089356,8.47959706405208,7.76568782154296,8.73169003962435
ABHD18,4.91157704207908,5.5390681566714,6.61906461244098,6.1226450637552,5.77003912123139,6.48717205422306,5.99207911245456,6.33991011880417
ABHD2,7.04539380698918,7.1027688617848,6.71815385658843,7.20928255028439,7.20301910736802,7.63416274830369,6.40061741917204,7.3788563301277
ABHD3,7.87457396814132,7.62110309211187,8.30424855707832,7.76502134015192,7.71698577421525,7.95478757120832,7.89455818849044,8.75558394400622
ABHD4,7.85322344292908,8.37687955508769,7.76783667590582,7.42556385855884,7.860947260555,8.05875452984994,7.83844037079628,8.86064487364926
ABHD5,5.93337344945612,6.47426546004448,5.08314861096222,5.4988365721671,7.22184680638455,6.94139851814872,6.56583842603607,7.58310519551411
ABHD6,5.33055586312804,5.87574380949912,4.67596599091163,5.5631664305698,5.51315848917178,4.56012379779329,5.65310926310366,5.80575771966034
ABHD8,4.91956941306811,5.02787558050208,4.093369827057,4.35380023583895,4.7809502762616,4.78481492860987,4.88737784861579,4.72063007959695
ABI1,9.39005148340182,9.03917113133578,8.2510359258741,9.40388180583548,9.78093914860854,9.84053553320816,9.72893040372934,9.58300719620444
ABI2,7.00906644619035,8.48941775135593,7.79035433139544,8.3064251622399,7.04467272195411,7.79054812988422,7.77719453269149,7.39444930569543
ABI3,6.67176783517522,6.96056465153053,6.77819895291901,6.36923537273684,6.48860197366201,7.17850840514133,6.84498711797406,6.90311696655656
ABI3BP,5.88275019870065,8.32453179383542,7.8093262546604,4.44516828926748,4.58366122564879,9.00855380646217,7.58251476870007,6.42787043076209
ABITRAM,8.42612118844611,8.55829708420988,8.85072758159857,8.87523226615258,8.74253604283335,7.80440291679723,8.65491576495569,8.64691887367037
ABL1,7.49509108403107,8.15367020238906,8.65257416137953,8.15158215102921,7.87876857358778,7.60394987957527,7.94196699496568,7.3690615499972
ABL2,7.33488942357721,5.94212468883249,8.08037796930316,7.24771204946138,9.14311606720154,7.05547670272064,7.72631092963035,6.86038046008132
ABLIM1,9.25289595187904,11.2102461573573,8.18876832099067,10.3874544404747,10.3741131387763,10.5077337825123,9.08634335319861,10.2977650787935
ABLIM2,5.55923651107683,6.1558322209407,5.23990364015018,5.55379037118499,7.03488937719382,5.65137727399714,5.78812021917591,5.09581544056428
ABLIM3,5.91563626073905,6.24792039502498,5.72377664944148,5.27105784187959,5.41269811072314,5.40060246796282,6.10094564658182,5.80822662215821
ABO,4.92208436769572,4.9387087333274,5.10909737276022,4.249101699347,5.03840356007487,5.12625631814323,5.03935717854468,5.06513608786487
ABR,5.77008858806508,6.69967162211719,6.25182218407035,6.17852338869343,6.44810857194671,6.25610375427831,6.44004976610345,6.14188811048494
ABRA,3.48696948857011,3.61484572944291,2.76474720535378,2.7015006187936,2.83363376611977,2.93114568153122,3.07829840987838,2.79533907198639
ABRACL,9.81127227677236,9.12241525856793,8.76445013749689,9.32982127806156,9.38227328160531,8.71217002383586,8.82337067856987,9.50380631140352
ABRAXAS1,4.99739757569793,4.22737569834183,4.20890524318784,4.28863657232332,3.60972983750404,4.69986671908932,3.83028825816046,3.56736388769278
ABRAXAS2,7.03478931215151,6.90622159612855,7.55207062661526,7.61691702069466,7.54754625189552,7.2366377080903,6.8350609721353,7.36937136111756
ABT1,7.8391603524961,6.9406126811663,7.43974408339222,7.86041051616246,7.9093372128198,8.0001169752362,7.26035945530786,8.07935098065377
ABTB1,4.90721342776887,5.2409105692958,5.23615589935607,5.2153196318553,5.33976163041745,5.15737839251497,5.15175309373981,5.13639018485849
ABTB2,6.46390891875036,5.87318400521173,5.86202649806116,5.75907010505054,5.93855374592194,5.70569575727612,6.02632583507583,6.01010227869695
ABTB3,6.97651929509809,5.52767142991265,5.57881914237522,6.70581742852043,5.87532259351312,4.0698864387263,5.21575720728416,6.97568899206609
ACAA1,7.98451311778043,8.57875084478261,8.01409032346918,8.54768477453234,8.11053447605138,8.17459643392191,8.42516627185718,9.18847697395349
ACAA2,9.09355333813522,7.46931067424435,7.42642534887404,6.93523030904159,7.82966635000568,7.89446545159619,7.95859482036822,6.77772437105989
ACACA,8.53393105513229,8.5742401727964,8.54903816122722,8.86406240869045,8.15331136143573,7.90449982566718,7.99383467738686,8.49407851007253
ACACB,4.49589158033163,5.67376621679135,4.51507533564036,4.25392332795122,4.73057900596588,5.48274104728423,4.84654760308955,4.50618223090245
ACAD10,4.9089715374622,4.64522823197663,4.51720190033305,4.1993805516803,4.659853859298,4.26106002081755,4.43731913545069,4.81370605968737
ACAD11,6.31486409374615,6.50664028452348,6.45549505666118,6.30542303758988,5.69923970855557,6.16662300474665,5.77254421302432,5.60096257742718
ACAD8,5.94913177064451,6.9289631024965,6.04218546387751,5.99877911483074,6.75057323507567,6.06774872437217,6.13763032345783,6.37882171592488
ACAD9,7.72836553334632,8.10721411055688,7.57738676588565,7.54021255102635,7.71586453906406,6.84555841180771,7.52033676043453,7.54217327224865
ACADL,3.2398082408188,3.25823176837338,3.49305416991386,3.5647191204444,3.62336025621163,3.32717870489981,3.61688442740278,3.34726261912509
ACADM,8.24861733350553,8.46350722252942,8.17061097272614,7.75321823132474,8.07833814680375,8.44775296023372,8.06575094684394,8.12495248153417
ACADS,6.61220101528427,6.75133235405272,6.34661038724704,6.66307871946861,6.34101211690089,6.48469941426701,6.64400100774654,6.64379346527989
ACADSB,5.06138394051651,5.42871254599565,4.1255769811516,4.41497707649859,4.262169296929,6.01251199735919,4.81173277625303,5.5829145327327
ACADVL,9.58332069475409,10.0691774041226,9.70101764648522,10.1938170445884,9.7866438552921,9.31898073109105,9.45044608322562,9.5909663628154
